# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.003228,-0.0279,0.3594,0.9792,1.04
0.004931,-0.0296,0.3589,0.9704,1.04
0.005054,-0.0318,0.3560,0.9626,1.03
0.020484,-0.0347,0.3562,0.9523,1.02
0.024404,-0.0247,0.3801,0.9213,1.00
0.025199,-0.0181,0.3858,0.9210,1.00
0.028278,-0.0139,0.3906,0.9218,1.00
0.029108,-0.0110,0.3919,0.9218,1.00
0.044880,-0.0088,0.3936,0.9242,1.00
0.047068,0.0259,0.3977,0.9354,1.02
0.048746,0.0288,0.3972,0.9357,1.02
0.064630,0.0313,0.3990,0.9352,1.02
0.085444,0.0193,0.3919,0.9213,1.00
0.105371,-0.0129,0.3833,0.9191,1.00
0.125571,-0.0203,0.3762,0.9289,1.00
0.145516,-0.0149,0.3674,0.9176,0.99
0.166800,-0.0188,0.3633,0.9098,0.98
0.187550,-0.0193,0.3618,0.9183,0.99
0.207882,-0.0161,0.3655,0.9464,1.01
0.227964,-0.0176,0.3586,0.9508,1.02
0.248480,-0.0095,0.3535,0.9445,1.01
0.269320,-0.0034,0.3638,0.9518,1.02
0.289563,0.0022,0.3567,0.9499,1.01
0.309896,0.0081,0.3674,0.9572,1.03
0.330122,0.0027,0.3682,0.9430,1.01
0.350826,0.0010,0.3696,0.9296,1.00
0.371313,0.0125,0.3718,0.9340,1.01
0.391708,0.0159,0.3797,0.9181,0.99
0.411849,0.0178,0.3767,0.9225,1.00
0.432053,0.0083,0.3726,0.9291,1.00
0.439943,-0.0029,0.3691,0.9384,1.01
0.442698,-0.0020,0.3689,0.9394,1.01
0.446757,-0.0056,0.3674,0.9406,1.01
0.447531,-0.0061,0.3684,0.9401,1.01
0.460109,-0.0037,0.3689,0.9394,1.01
0.462546,-0.0059,0.3716,0.9401,1.01
0.480759,-0.0051,0.3731,0.9398,1.01
0.501246,-0.0100,0.3682,0.9394,1.01
0.503286,-0.0120,0.3657,0.9452,1.01
0.507195,-0.0103,0.3660,0.9484,1.02
0.508649,-0.0081,0.3655,0.9508,1.02
0.511681,-0.0081,0.3647,0.9535,1.02
0.512914,-0.0088,0.3652,0.9538,1.02
0.515865,-0.0098,0.3665,0.9579,1.03
0.524179,-0.0086,0.3674,0.9616,1.03
0.528232,-0.0105,0.3677,0.9694,1.04
0.529186,-0.0112,0.3669,0.9694,1.04
0.545095,-0.0093,0.3657,0.9697,1.04
0.549805,-0.0115,0.3650,0.9594,1.03
0.566599,-0.0120,0.3655,0.9567,1.02
0.569268,-0.0127,0.3682,0.9413,1.01
0.573114,-0.0107,0.3674,0.9394,1.01
0.574453,-0.0115,0.3674,0.9389,1.01
0.577328,-0.0117,0.3672,0.9389,1.01
0.578422,-0.0107,0.3679,0.9396,1.01
0.582555,-0.0098,0.3674,0.9398,1.01
0.589089,-0.0105,0.3691,0.9398,1.01
0.593860,-0.0044,0.3701,0.9428,1.01
0.595118,-0.0022,0.3701,0.9442,1.01
0.597765,-0.0017,0.3704,0.9457,1.02
0.598988,0.0005,0.3687,0.9484,1.02
0.610332,0.0037,0.3684,0.9482,1.02
0.614420,0.0088,0.3701,0.9508,1.02
0.630131,0.0083,0.3713,0.9499,1.02
0.635532,0.0088,0.3709,0.9423,1.01
0.635657,0.0098,0.3691,0.9391,1.01
0.650438,0.0078,0.3706,0.9354,1.01
0.671154,0.0095,0.3701,0.9227,0.99
0.692150,0.0081,0.3718,0.9230,1.00
0.713029,0.0122,0.3794,0.9367,1.01
0.734359,0.0137,0.3689,0.9345,1.00
0.756480,0.0068,0.3701,0.9330,1.00
0.780524,0.0073,0.3667,0.9469,1.02
0.783826,0.0095,0.3645,0.9474,1.02
0.803028,0.0100,0.3643,0.9460,1.01
0.818431,0.0012,0.3687,0.9267,1.00
0.825854,0.0032,0.3657,0.9284,1.00
0.828821,0.0105,0.3630,0.9337,1.00
0.831388,0.0090,0.3618,0.9372,1.00
0.847223,0.0086,0.3640,0.9386,1.01
0.868539,0.0090,0.3694,0.9428,1.01
0.889269,-0.0037,0.3689,0.9201,0.99
0.909941,-0.0012,0.3711,0.9257,1.00
0.930501,0.0049,0.3650,0.9369,1.01
0.951608,0.0083,0.3723,0.9428,1.01
0.973429,0.0159,0.3701,0.9482,1.02
0.994292,0.0112,0.3745,0.9401,1.01
1.015762,0.0093,0.3748,0.9357,1.01
1.037448,0.0115,0.3743,0.9406,1.01
1.058409,0.0093,0.3701,0.9403,1.01
1.079188,0.0198,0.3662,0.9455,1.01
1.100792,0.0095,0.3709,0.9501,1.02
1.122028,0.0110,0.3691,0.9467,1.02
1.143352,0.0154,0.3694,0.9330,1.00
1.165447,0.0227,0.3716,0.9291,1.00
1.191097,0.0215,0.3716,0.9318,1.00
1.211148,0.0122,0.3728,0.9289,1.00
1.231830,0.0217,0.3682,0.9303,1.00
1.253021,0.0320,0.3728,0.9452,1.02
1.273754,0.0340,0.3694,0.9574,1.03
1.294453,0.0271,0.3733,0.9482,1.02
1.315328,0.0344,0.3770,0.9460,1.02
1.337677,0.0450,0.3814,0.9596,1.03
1.358752,0.0472,0.3914,0.9872,1.06
1.379773,0.0584,0.4112,0.9828,1.07
1.401545,0.0982,0.4368,1.0053,1.10
